ID_INCIDENTE,PRIORIDAD,TIEMPO_RESOLUCION_MIN,TIPO_INCUMPLIMIENTO,ES_CAMBIO_AUTORIZADO,RIESGO_CRITICIDAD,NIVEL_MADUREZ,FECHA_REGISTRO
INC-17D852A7,Media,1201.98,Falla de Hardware,1,Medio,Nivel 3,2025-08-18
INC-C3455976,Baja,3331.02,Falla de Hardware,1,Bajo,Nivel 3,2025-07-14
INC-B3DACB09,Baja,2528.82,Error de Aplicación,1,Bajo,Nivel 3,2025-07-19
INC-9F45D9BD,Media,1379.35,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-09
INC-6CDCBBCA,Alta,120.21,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-08-25
INC-BB441671,Alta,79.17,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-07-12
INC-95E413E6,Alta,414.28,Falla de Hardware,1,Alto,Nivel 3,2025-06-06
INC-259E6331,Baja,1964.43,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-07-07
INC-52EB1209,Media,1228.82,Falla de Hardware,1,Medio,Nivel 3,2025-09-17
INC-DDFC9D15,Baja,3870.98,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-04-24
INC-6B5DD9FD,Alta,58.11,Petición de Servicio,1,Alto,Nivel 3,2025-09-28
INC-B07CED01,Baja,3830.55,Falla de Hardware,1,Bajo,Nivel 3,2025-08-15
INC-8EE2045F,Baja,2002.94,Falla de Hardware,1,Bajo,Nivel 3,2025-09-18
INC-BF6C44E5,Alta,259.69,Falla de Hardware,1,Alto,Nivel 3,2025-10-06
INC-74832EA4,Alta,311.97,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-04-20
INC-948FB10F,Alta,446.87,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-07-11
INC-D471F541,Media,86.38,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-08-22
INC-C1AF868D,Media,718.04,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-08-04
INC-8FB321D5,Media,1009.06,Falla de Hardware,1,Medio,Nivel 3,2025-07-24
INC-1F959BBA,Media,1057.34,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-05-23
INC-3619D684,Media,1015.69,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-06-26
INC-57825287,Alta,90.5,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-05-19
INC-3384C124,Media,473.17,Problema de Infraestructura (por cambio no aprobado),0,Medio,Nivel 3,2025-05-17
INC-CCCB5D3C,Media,555.03,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-08-19
INC-D6F0023A,Media,1170.12,Petición de Servicio,1,Medio,Nivel 3,2025-04-28
INC-69A9861C,Baja,1290.79,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-04-27
INC-BB4425EB,Alta,124.82,Error de Aplicación,1,Alto,Nivel 3,2025-07-13
INC-FF389130,Media,1381.28,Falla de Hardware,1,Medio,Nivel 3,2025-06-27
INC-7664B960,Media,72.23,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-05-18
INC-4F95DFEF,Alta,479.02,Petición de Servicio,1,Alto,Nivel 3,2025-06-12
INC-AE5AF052,Media,994.01,Error de Aplicación,1,Medio,Nivel 3,2025-09-29
INC-D14BA705,Alta,402.81,Error de Aplicación,1,Alto,Nivel 3,2025-07-11
INC-E1015977,Alta,162.58,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-05-05
INC-00C890F8,Baja,180.12,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-08-10
INC-34224604,Baja,3219.05,Error de Aplicación,1,Bajo,Nivel 3,2025-04-30
INC-F8C0953F,Baja,3623.41,Falla de Hardware,1,Bajo,Nivel 3,2025-05-19
INC-2BB26CA9,Media,1081.86,Falla de Hardware,1,Medio,Nivel 3,2025-04-26
INC-19B1072A,Alta,94.28,Problema de Infraestructura (por cambio no aprobado),0,Crítico,Nivel 3,2025-07-05
INC-F3146EFB,Media,1099.73,Falla de Hardware,1,Medio,Nivel 3,2025-06-19
INC-CC88DA81,Media,1121.11,Error de Aplicación,1,Medio,Nivel 3,2025-06-23
INC-038556C9,Alta,326.34,Error de Aplicación,1,Alto,Nivel 3,2025-07-17
INC-780B01B3,Media,1117.24,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-08-19
INC-8F320E3B,Alta,410.66,Error de Aplicación,1,Alto,Nivel 3,2025-10-04
INC-07A9E358,Baja,2697.14,Falla de Hardware,1,Bajo,Nivel 3,2025-07-05
INC-C0D8AF0B,Media,182.27,Petición de Servicio,1,Medio,Nivel 3,2025-06-14
